Time,total_lmp_da
2022-09-09 07:00:00+00:00,132.374
2022-09-09 08:00:00+00:00,115.70662
2022-09-09 09:00:00+00:00,103.58741
2022-09-09 10:00:00+00:00,98.30976
2022-09-09 11:00:00+00:00,93.28
2022-09-09 12:00:00+00:00,93.3021
2022-09-09 13:00:00+00:00,99.72398
2022-09-09 14:00:00+00:00,105.69493
2022-09-09 15:00:00+00:00,107.92744
2022-09-09 16:00:00+00:00,100.41358
2022-09-09 17:00:00+00:00,100.66267
2022-09-09 18:00:00+00:00,105.83969
2022-09-09 19:00:00+00:00,137.01178
2022-09-09 20:00:00+00:00,138.10333
2022-09-09 21:00:00+00:00,157.8985
2022-09-09 22:00:00+00:00,158.27638
2022-09-09 23:00:00+00:00,190.57744
2022-09-10 00:00:00+00:00,239.26573
2022-09-10 01:00:00+00:00,343.09888
2022-09-10 02:00:00+00:00,294.18307
2022-09-10 03:00:00+00:00,207.85143
2022-09-10 04:00:00+00:00,169.1556
2022-09-10 05:00:00+00:00,154.02791
2022-09-10 06:00:00+00:00,131.17339
2022-09-10 07:00:00+00:00,118.56332
2022-09-10 08:00:00+00:00,102.59467
2022-09-10 09:00:00+00:00,92.86101
2022-09-10 10:00:00+00:00,89.41198
2022-09-10 11:00:00+00:00,87.77098
2022-09-10 12:00:00+00:00,85.92693
2022-09-10 13:00:00+00:00,86.80036
2022-09-10 14:00:00+00:00,79.13836
2022-09-10 15:00:00+00:00,73.5709
2022-09-10 16:00:00+00:00,74.85319
2022-09-10 17:00:00+00:00,74.2721
2022-09-10 18:00:00+00:00,73.43
2022-09-10 19:00:00+00:00,77.38
2022-09-10 20:00:00+00:00,78.442
2022-09-10 21:00:00+00:00,81.79037
2022-09-10 22:00:00+00:00,91.14962
2022-09-10 23:00:00+00:00,99.29486
2022-09-11 00:00:00+00:00,108.81101
2022-09-11 01:00:00+00:00,115.39983
2022-09-11 02:00:00+00:00,126.48006
2022-09-11 03:00:00+00:00,122.05244
2022-09-11 04:00:00+00:00,112.70029
2022-09-11 05:00:00+00:00,109.9298
2022-09-11 06:00:00+00:00,102.04378
2022-09-11 07:00:00+00:00,93.03302
2022-09-11 08:00:00+00:00,100.65082
2022-09-11 09:00:00+00:00,94.61536
