Year,Month,Day,Hour,Minute,v_meas,rh,T_C,p_meas,turbine_power_kw,v_std
2009,1,3,23,30,9.32,98.23,6.0,97950,1817.1760392294607,9.301817910320255
2009,1,4,0,30,9.41,98.42,7.12,97980,1831.8983077659423,9.379161059973429
2009,1,4,1,30,8.89,98.35,9.15,98010,1721.2086505521672,8.838810004403294
2009,1,4,2,30,8.44,98.3,10.35,98030,1603.5231918212069,8.379088697353767
2009,1,4,3,30,8.05,99.09,10.92,98020,1483.039937382201,7.985681528132584
2009,1,4,4,30,8.75,99.33,11.47,98010,1681.7369806517377,8.67362201570093
2009,1,4,5,30,10.16,98.94,12.87,98030,1931.672272338885,10.05393024544019
2009,1,4,6,30,8.870000000000001,98.78,12.84,98090,1707.0520339578484,8.779564904615393
2009,1,4,7,30,9.15,99.29,11.49,98220,1774.2697300885288,9.07641045489114
2009,1,4,8,30,10.04,96.22,6.43,98400,1929.1139151478385,10.03053420345531
2009,1,4,9,30,10.55,85.61,3.82,98560,1986.0993777257722,10.582053416496326
2009,1,4,10,30,9.83,80.14,2.48,98690,1908.9722899556537,9.881462363002846
2009,1,4,11,30,9.44,76.89,1.47,98840,1855.8391398654771,9.506625325329644
2009,1,4,12,30,8.870000000000001,76.32000000000001,0.9,98960,1746.0323198234387,8.942696462956429
2009,1,4,13,30,9.89,76.83,-1.56,99090,1926.4817506889815,10.006463197887346
2009,1,4,14,30,8.72,76.71000000000001,-2.77,99230,1721.5893327547844,8.840403150260657
2009,1,4,15,30,9.01,72.98,-3.29,99350,1787.1992642604423,9.14433550964246
2009,1,4,16,30,8.950000000000001,65.91,-2.32,99390,1773.7956889227235,9.073920088903197
2009,1,4,17,30,9.44,60.89,-1.72,99450,1864.2150584109256,9.565714697784307
2009,1,4,18,30,9.78,57.6,-1.48,99510,1912.9424845086291,9.909470790184331
2009,1,4,19,30,9.98,54.79,-1.36,99570,1938.1126577315097,10.112827231198077
2009,1,4,20,30,9.99,53.23,-1.35,99650,1939.515636560036,10.125657398811486
2009,1,4,21,30,10.03,51.65,-1.81,99710,1944.8260420279694,10.174220777576307
2009,1,4,22,30,9.81,53.95,-2.57,99770,1920.4465050650003,9.962409206807763
2009,1,4,23,30,9.57,55.23,-3.28,99840,1887.4415828929011,9.72957024968537
2009,1,5,0,30,8.69,57.09,-3.75,99910,1721.9961812201188,8.842105801297839
2009,1,5,1,30,8.77,55.36,-4.2,99960,1743.0360558185955,8.930157170197093
2009,1,5,2,30,7.82,55.55,-4.63,99990,1476.4240494428745,7.967925521854199
2009,1,5,3,30,6.49,56.51,-4.88,100000,992.4472681092893,6.615044676808833
2009,1,5,4,30,5.8500000000000005,55.96,-5.1000000000000005,99980,778.958899085108,5.963993657274301
2009,1,5,5,30,5.53,54.84,-5.28,99970,681.5247039780884,5.638887901161456
2009,1,5,6,30,5.88,51.79,-5.44,99980,788.9373828559106,5.99728856475112
2009,1,5,7,30,5.51,50.22,-5.63,99990,676.3111693396124,5.621492056521896
2009,1,5,8,30,4.8500000000000005,49.92,-5.72,99990,482.830213407854,4.948708385061165
2009,1,5,9,30,4.5200000000000005,50.1,-5.78,99970,395.56329988483947,4.6120304779507695
2009,1,5,10,30,4.73,50.2,-5.8100000000000005,99960,451.1087146226485,4.826326059500959
2009,1,5,11,30,3.81,50.64,-5.82,99950,224.72462842737679,3.8875012770338966
2009,1,5,12,30,3.08,52.14,-5.8100000000000005,99910,89.85638005645356,3.1421690126941577
2009,1,5,13,30,2.36,57.76,-5.84,99860,0.0,2.4072579974852566
2009,1,5,14,30,1.26,51.03,-5.86,99810,0.0,1.285091941800141
2009,1,5,15,30,0.86,46.85,-5.5200000000000005,99750,0.0,0.87659167539053
2009,1,5,16,30,0.96,44.18,-4.7700000000000005,99640,0.0,0.9772492235118396
2009,1,5,17,30,1.7,38.26,-3.91,99540,0.0,1.7281535007469142
2009,1,5,18,30,2.01,37.2,-3.14,99420,0.0,2.0405084059432435
2009,1,5,19,30,2.3000000000000003,36.29,-2.42,99310,0.0,2.3319614935827575
2009,1,5,20,30,2.52,34.21,-1.84,99200,6.984893947451127,2.5522625809760653
2009,1,5,21,30,3.03,35.47,-1.6,99090,77.63249851088939,3.066712953770922
2009,1,5,22,30,3.91,50.23,-1.72,98990,238.36459789535027,3.956233801437895
2009,1,5,23,30,4.99,53.93,-1.82,98920,510.0189081930481,5.0483182340220765
2009,1,6,0,30,5.66,54.06,-1.69,98840,706.9319134095041,5.723663374739753
2009,1,6,1,30,7.28,56.39,-2.1,98770,1252.9893509311241,7.363821198310789
2009,1,6,2,30,7.18,58.08,-2.46,98680,1216.8899209492815,7.263670192673828
2009,1,6,3,30,7.25,58.88,-2.5,98590,1241.7299889025903,7.332584238875268
2009,1,6,4,30,7.16,59.76,-2.6,98490,1208.3501530580916,7.239978230151453
2009,1,6,5,30,6.49,61.26,-2.78,98390,974.5142291727074,6.561696353332462
2009,1,6,6,30,6.13,63.89,-3.0700000000000003,98320,854.8398722864538,6.198414486469909
2009,1,6,7,30,5.84,66.49,-2.9,98260,760.562072514538,5.902609517899693
2009,1,6,8,30,5.61,68.47,-2.85,98170,690.2436067247468,5.667980002418241
2009,1,6,9,30,4.86,70.14,-2.98,98080,472.6627008041577,4.9094818703864105
2009,1,6,10,30,3.68,74.57000000000001,-3.75,98010,191.50654737491433,3.720113617409495
2009,1,6,11,30,3.81,75.78,-3.33,97940,216.9907619215747,3.848529916460442
2009,1,6,12,30,3.58,75.52,-3.0,97890,170.46390655672764,3.614078642261162
2009,1,6,13,30,2.56,77.16,-3.0500000000000003,97840,11.235386046947283,2.5840657392214537
2009,1,6,14,30,2.02,71.4,-2.99,97800,0.0,2.038629890176801
2009,1,6,15,30,1.54,65.26,-2.82,97740,0.0,1.5536109971803682
2009,1,6,16,30,0.75,57.53,-2.14,97670,0.0,0.7558376216098892
2009,1,6,17,30,1.26,55.51,-0.94,97590,0.0,1.2675652166955231
2009,1,6,18,30,1.77,57.02,-0.27,97540,0.0,1.7788071643251249
2009,1,6,19,30,1.83,55.58,0.33,97450,0.0,1.83717879391524
2009,1,6,20,30,1.44,55.16,0.85,97400,0.0,1.444466462536264
2009,1,6,21,30,1.04,58.49,1.01,97370,0.0,1.0428803564466917
2009,1,6,22,30,0.63,73.92,0.81,97350,0.0,0.631777860671715
2009,1,6,23,30,1.18,77.21000000000001,0.7000000000000001,97350,0.0,1.1834617635520448
2009,1,7,0,30,2.3000000000000003,81.38,0.39,97340,0.0,2.30749398288243
2009,1,7,1,30,2.69,84.64,-0.08,97330,26.758108791294436,2.7002103164331794
2009,1,7,2,30,3.38,85.7,-0.86,97300,130.9470139116883,3.395814900689434
2009,1,7,3,30,3.13,82.81,-1.15,97240,90.35110354734607,3.145222861403371
2009,1,7,4,30,3.79,78.61,-1.0,97170,208.7312553526162,3.806909827929535
2009,1,7,5,30,5.41,69.69,-0.6900000000000001,97120,620.1843409505004,5.431435718833248
2009,1,7,6,30,6.3100000000000005,67.21000000000001,-0.78,97080,899.6361887765698,6.334967806055692
2009,1,7,7,30,6.91,65.76,-0.87,97040,1100.756475448795,6.937249666663082
2009,1,7,8,30,7.17,63.82,-1.09,97020,1193.8961172311292,7.199878255600303
2009,1,7,9,30,7.0200000000000005,59.92,-1.04,96980,1139.166533812016,7.048041431022377
2009,1,7,10,30,8.94,56.65,-0.95,96980,1753.730410439621,8.974912786941289
2009,1,7,11,30,9.41,60.53,-1.2,96990,1845.339238697838,9.44977272759568
2009,1,7,12,30,10.09,63.15,-1.93,96990,1941.278688285954,10.141780414137667
2009,1,7,13,30,9.22,65.43,-1.99,97030,1810.9572506471616,9.269147626199956
2009,1,7,14,30,10.76,65.81,-2.34,97100,2002.806767356869,10.824717027695987
2009,1,7,15,30,9.62,65.79,-2.54,97170,1880.7887545222818,9.682636716206572
2009,1,7,16,30,9.91,62.63,-1.95,97200,1921.286755564541,9.968336899926214
2009,1,7,17,30,10.1,62.41,-1.15,97220,1942.1702053439285,10.149933290753804
2009,1,7,18,30,11.39,57.66,-0.29,97240,2023.6866123082898,11.435141348557519
2009,1,7,19,30,11.86,53.6,0.31,97250,2025.0000000000002,11.898851612381828
2009,1,7,20,30,11.27,52.27,0.91,97290,2020.9524629829443,11.300121628787364
2009,1,7,21,30,10.01,52.3,1.03,97330,1929.7799774769833,10.036625308431487
2009,1,7,22,30,9.43,56.27,0.75,97380,1847.2280567009482,9.459695596012335
2009,1,7,23,30,10.41,59.53,0.52,97440,1974.7261421200128,10.447655620667696
2009,1,8,0,30,11.16,60.39,0.41,97500,2019.0087694651831,11.20413676371274
2009,1,8,1,30,9.7,65.57000000000001,0.06,97560,1889.5210346763754,9.74424010353704
2009,1,8,2,30,8.83,70.31,-0.39,97640,1730.4303647346612,8.877402656349282
2009,1,8,3,30,9.73,72.69,-0.91,97700,1896.077158811414,9.79049142018634
2009,1,8,4,30,7.99,81.76,-2.3000000000000003,97730,1504.8272053328537,8.054163638955897
2009,1,8,5,30,6.13,82.84,-3.58,97800,852.3215340095542,6.190737796096797
2009,1,8,6,30,9.25,64.5,-4.45,97890,1827.4634397060497,9.355862567407668
2009,1,8,7,30,7.890000000000001,65.35,-5.39,97950,1485.1796737153002,7.991424245075953
2009,1,8,8,30,6.01,68.60000000000001,-5.97,98000,820.1560990159251,6.092687392214373
2009,1,8,9,30,9.64,62.46,-6.65,98090,1895.212231537631,9.784389640477114
2009,1,8,10,30,6.82,64.91,-6.94,98170,1097.147701523428,6.926514060756888
2009,1,8,11,30,9.15,64.61,-7.8,98250,1817.906360208535,9.305654637292013
2009,1,8,12,30,8.03,66.67,-8.08,98380,1540.941626933506,8.173058854102077
2009,1,8,13,30,6.88,68.89,-8.28,98480,1124.2553296004428,7.006673129700215
2009,1,8,14,30,7.890000000000001,65.32000000000001,-8.53,98570,1500.649922118743,8.040411266234544
2009,1,8,15,30,6.28,61.9,-7.73,98670,919.4710991327162,6.395430876795355
2009,1,8,16,30,5.15,57.76,-6.79,98700,564.8523401226271,5.2390100508524675
2009,1,8,17,30,5.4,53.33,-5.66,98750,636.0183998783629,5.486501129815207
2009,1,8,18,30,5.1000000000000005,50.93,-4.46,98780,546.2821118800766,5.1744291840726016
2009,1,8,19,30,4.14,49.41,-3.42,98800,293.70213625809936,4.195238067621257
2009,1,8,20,30,3.98,47.39,-2.62,98830,254.10143429070595,4.029510082823628
2009,1,8,21,30,4.15,47.28,-2.24,98840,294.7844713122116,4.199767613777826
2009,1,8,22,30,3.65,59.89,-2.24,98840,186.2178615063659,3.693463650825729
2009,1,8,23,30,2.5500000000000003,62.82,-2.04,98840,10.647143768571771,2.579664375372778
2009,1,9,0,30,1.58,63.67,-1.76,98860,0.0,1.5979149016484053
2009,1,9,1,30,1.67,68.74,-1.72,98880,0.0,1.6889054386978852
2009,1,9,2,30,2.04,70.28,-1.81,98850,0.0,2.063097929361083
2009,1,9,3,30,3.94,73.38,-1.63,98840,243.77249203794887,3.9834844647918812
2009,1,9,4,30,4.9,73.48,-1.8,98820,484.4110440736182,4.954807268802539
2009,1,9,5,30,6.26,69.9,-1.53,98790,897.1448981881582,6.3273735655789
2009,1,9,6,30,7.13,70.89,-2.04,98800,1198.1135943871964,7.211578844186978
2009,1,9,7,30,7.890000000000001,68.53,-2.06,98780,1480.9465963636949,7.980063328941746
2009,1,9,8,30,8.42,67.49,-1.74,98750,1643.086101730566,8.511869017495567
2009,1,9,9,30,9.21,66.02,-1.32,98710,1817.6663577176419,9.304393788902766
2009,1,9,10,30,9.76,64.02,-1.22,98670,1905.5890866546576,9.85759496758136
2009,1,9,11,30,9.74,64.2,-1.25,98650,1902.6822824778376,9.837088412542062
2009,1,9,12,30,9.2,66.3,-1.38,98620,1815.3350429940683,9.292146272624471
2009,1,9,13,30,8.76,66.03,-1.26,98600,1722.8834022461792,8.84581879994216
2009,1,9,14,30,7.43,59.44,-1.05,98590,1302.4131224998291,7.5009074677934215
2009,1,9,15,30,6.5,55.83,0.89,98570,969.1831007877514,6.545836979883241
2009,1,9,16,30,5.13,51.57,2.76,98520,540.2554058813305,5.153470373435335
2009,1,9,17,30,4.36,49.51,4.23,98450,335.70499034775486,4.371019001246097
2009,1,9,18,30,4.25,47.71,6.08,98400,306.87704842093723,4.250374757986764
2009,1,9,19,30,4.76,45.12,7.51,98370,431.77037886318107,4.7517182826511615
2009,1,9,20,30,4.93,47.71,8.17,98360,474.6348732796996,4.917090560492668
2009,1,9,21,30,6.67,56.48,7.98,98350,1005.2265065778511,6.653061152990781
2009,1,9,22,30,7.68,69.64,8.38,98350,1359.9316215636914,7.655278104035672
2009,1,9,23,30,7.68,78.91,8.07,98380,1360.9626693305331,7.658045274639112
2009,1,10,0,30,8.870000000000001,80.67,7.88,98390,1723.1294336695776,8.846848435528678
2009,1,10,1,30,8.69,81.7,7.88,98410,1680.3423298401315,8.667785435614695
2009,1,10,2,30,7.140000000000001,81.62,7.58,98420,1166.7961916220604,7.124694663953559
2009,1,10,3,30,5.75,79.11,7.86,98420,710.5822837608772,5.735843455992249
2009,1,10,4,30,4.78,80.26,7.79,98390,436.0143162688747,4.7680914979509055
2009,1,10,5,30,3.72,81.38,7.65,98380,189.73869039677209,3.7112052930046464
2009,1,10,6,30,1.92,88.31,5.91,98370,0.0,1.91944672075341
2009,1,10,7,30,8.72,80.67,1.66,98360,1703.5436097779343,8.76488223384781
2009,1,10,8,30,10.01,83.2,-0.27,98460,1935.5455671252187,10.08935132259002
2009,1,10,9,30,10.81,79.99,-0.54,98520,2008.1212168548893,10.901905836672318
2009,1,10,10,30,9.9,79.66,-0.74,98590,1924.2288592500383,9.98909248148175
2009,1,10,11,30,9.39,79.4,-0.8300000000000001,98650,1850.6221837241317,9.47752657590823
2009,1,10,12,30,8.76,83.63,-0.93,98720,1722.591263637274,8.8445962068938
2009,1,10,13,30,10.79,84.13,-1.55,98780,2008.3310963921017,10.904954195963715
2009,1,10,14,30,9.42,85.74,-1.57,98850,1858.1242765676504,9.522746219172138
2009,1,10,15,30,8.56,82.82000000000001,-1.23,98930,1676.6048346030461,8.652144107985126
2009,1,10,16,30,9.2,80.68,-1.27,98980,1817.0614512882166,9.301215924813325
2009,1,10,17,30,9.63,77.59,-1.03,99020,1888.1424711625962,9.734514787743182
2009,1,10,18,30,9.95,73.38,-0.79,99060,1931.9641594406696,10.056599537637583
2009,1,10,19,30,10.12,70.07000000000001,-0.62,99110,1950.7285893911667,10.228199262836458
2009,1,10,20,30,9.99,68.78,-0.71,99170,1936.7200786147075,10.100092168401531
2009,1,10,21,30,10.31,70.53,-1.12,99210,1972.826444797006,10.430282988541435
2009,1,10,22,30,10.49,73.23,-1.82,99290,1989.017312312511,10.624434456245616
2009,1,10,23,30,9.63,76.14,-2.48,99330,1892.136999727799,9.762694883441263
2009,1,11,0,30,9.4,77.21000000000001,-3.09,99390,1860.3947027993333,9.538763335445031
2009,1,11,1,30,8.370000000000001,77.62,-3.67,99440,1640.5430100690548,8.501226240088112
2009,1,11,2,30,7.54,78.57000000000001,-4.16,99460,1362.9804950364485,7.6634608025669575
2009,1,11,3,30,6.79,78.8,-4.54,99480,1089.9073358973153,6.904974969202187
2009,1,11,4,30,6.16,78.47,-4.89,99490,877.4453767370564,6.2673232029783765
2009,1,11,5,30,4.3100000000000005,79.38,-5.16,99500,339.4584829044024,4.38672727727308
2009,1,11,6,30,4.53,70.27,-5.59,99510,395.95555822756387,4.613543820322391
2009,1,11,7,30,4.05,68.91,-5.74,99510,277.04007304704623,4.125507734032418
2009,1,11,8,30,4.24,67.24,-5.78,99510,323.34824133434364,4.31930630397298
2009,1,11,9,30,3.52,69.42,-5.74,99480,164.74415408951734,3.5852565083875905
2009,1,11,10,30,3.92,76.53,-5.88,99460,245.65574145520745,3.992974257773784
2009,1,11,11,30,3.77,75.21000000000001,-5.95,99430,215.33046690663852,3.840163602452197
2009,1,11,12,30,4.42,71.21000000000001,-5.62,99410,366.5652996776723,4.500155477151513
2009,1,11,13,30,4.08,72.2,-5.74,99390,283.92595680715067,4.154324991869222
2009,1,11,14,30,3.66,70.87,-5.29,99370,192.34014171848568,3.7243141432022457
2009,1,11,15,30,3.2,63.75,-4.09,99350,107.51654301605338,3.2511823642966258
2009,1,11,16,30,3.4,56.53,-2.47,99300,139.22210243594688,3.4468956940490547
2009,1,11,17,30,4.0,50.66,-0.9,99260,258.23474310340544,4.0468078807424375
2009,1,11,18,30,5.01,47.97,0.4,99220,513.3284582666759,5.059827710890891
2009,1,11,19,30,5.86,47.27,1.49,99190,762.6856958342045,5.90969534812881
2009,1,11,20,30,6.59,48.63,2.29,99190,1000.568019814822,6.639202795819789
2009,1,11,21,30,6.5,53.47,2.71,99200,968.9146450857467,6.545038361105895
2009,1,11,22,30,7.22,71.63,2.78,99240,1218.854381012969,7.269120213657842
2009,1,11,23,30,8.75,79.52,2.23,99250,1715.586819400266,8.815282776314149
2009,1,12,0,30,9.14,82.73,1.82,99290,1800.4481658895138,9.213938355080186
2009,1,12,1,30,8.91,84.35000000000001,0.5700000000000001,99300,1758.8844179142939,8.99648218419876
2009,1,12,2,30,7.35,90.07000000000001,-0.27,99320,1276.6359846237183,7.429424288039168
2009,1,12,3,30,6.88,97.52,-1.11,99330,1108.9564507818832,6.961643465065842
2009,1,12,4,30,7.11,97.87,-1.66,99320,1193.6400378213493,7.1991678119610185
2009,1,12,5,30,7.390000000000001,99.23,-1.93,99330,1296.828328405931,7.485444107104816
2009,1,12,6,30,6.83,98.61,-2.01,99360,1094.8389265559745,6.919645772887027
2009,1,12,7,30,5.08,97.62,-2.52,99370,539.3263997206594,5.150239609531071
2009,1,12,8,30,3.26,95.46,-2.88,99380,116.51894952470346,3.3067527748438486
2009,1,12,9,30,2.53,98.06,-3.11,99340,8.908028844049653,2.566651918025063
2009,1,12,10,30,0.8200000000000001,96.61,-3.2,99330,0.0,0.8319545143162407
2009,1,12,11,30,0.85,95.63,-3.23,99310,0.0,0.8623721464035308
2009,1,12,12,30,1.71,95.51,-3.14,99290,0.0,1.7345748367614429
2009,1,12,13,30,3.18,95.46,-2.94,99280,103.23750220688535,3.2247685321412676
2009,1,12,14,30,4.51,90.95,-2.5,99260,384.86275812162046,4.570747523617363
2009,1,12,15,30,4.3,77.22,-1.95,99200,331.73093659583805,4.354387681924411
2009,1,12,16,30,5.5600000000000005,71.69,-0.61,99130,675.7697259585062,5.619685438633654
2009,1,12,17,30,6.13,70.46000000000001,0.41,99050,850.8436662087505,6.186232788321141
2009,1,12,18,30,6.5600000000000005,67.67,1.37,98940,990.7141011928718,6.609888743694397
2009,1,12,19,30,6.87,65.54,2.39,98880,1092.3108007441363,6.912124946435032
2009,1,12,20,30,7.28,66.19,3.0500000000000003,98770,1235.687410246793,7.31582025314688
2009,1,12,21,30,6.86,68.87,3.33,98700,1084.712878779113,6.889522173967315
2009,1,12,22,30,7.31,78.17,3.7,98670,1243.1824076913315,7.3366136986858965
2009,1,12,23,30,8.02,91.44,3.7,98630,1502.657141737264,8.04701939666589
2009,1,13,0,30,9.17,82.56,3.92,98610,1797.518285490467,9.198546285739253
2009,1,13,1,30,10.47,80.03,3.34,98650,1981.274900073065,10.511981119434497
2009,1,13,2,30,10.65,94.69,2.93,98680,1994.069258016854,10.697810573955758
2009,1,13,3,30,11.98,93.34,1.12,98740,2025.0000000000002,12.064121489303568
2009,1,13,4,30,11.03,99.52,-0.28,98780,2017.4719269469729,11.128243306023348
2009,1,13,5,30,10.01,99.11,-1.5,98860,1938.6430600121557,10.117677732164205
2009,1,13,6,30,13.18,85.33,-3.49,98950,2025.0000000000002,13.36090578197095
2009,1,13,7,30,13.1,80.52,-5.22,99050,2025.0000000000002,13.313991330336522
2009,1,13,8,30,12.34,74.82000000000001,-6.5600000000000005,99160,2025.0000000000002,12.568069403439669
2009,1,13,9,30,11.94,72.9,-7.36,99250,2025.0000000000002,12.176914381095022
2009,1,13,10,30,11.89,71.61,-8.46,99340,2025.0000000000002,12.146757933578094
2009,1,13,11,30,11.76,68.44,-9.99,99430,2025.0000000000002,12.041364610217041
2009,1,13,12,30,11.72,66.36,-11.21,99520,2025.0000000000002,12.02299599853763
2009,1,13,13,30,10.36,64.14,-12.4,99580,1990.5297672489755,10.646401848205889
2009,1,13,14,30,9.42,61.48,-13.1,99660,1882.096750374387,9.691864200172043
2009,1,13,15,30,9.12,53.83,-13.19,99720,1833.2734121450756,9.386385143919492
2009,1,13,16,30,7.73,48.0,-12.65,99760,1470.2772941617382,7.95142859410021
2009,1,13,17,30,7.05,42.16,-11.73,99770,1209.7022444972329,7.243729350803808
2009,1,13,18,30,6.49,37.66,-10.79,99750,1007.5437659310315,6.659954680740834
2009,1,13,19,30,5.94,36.02,-9.87,99730,818.6228950309638,6.088013702273933
2009,1,13,20,30,5.3,35.160000000000004,-9.21,99700,618.9001778978886,5.426969841411541
2009,1,13,21,30,5.41,33.09,-8.92,99660,650.9483047237846,5.536864546959575
2009,1,13,22,30,4.72,36.99,-8.89,99650,452.129382158859,4.8302638200573265
2009,1,13,23,30,3.38,38.72,-9.07,99610,141.22616458924657,3.459266448081769
2009,1,14,0,30,1.18,45.34,-9.04,99560,0.0,1.2073933752837955
2009,1,14,1,30,1.23,46.47,-8.82,99480,0.0,1.257858048990935
2009,1,14,2,30,3.29,48.81,-8.48,99400,125.48878659463962,3.362122139473084
