Time,BiomassType,Consumption,Purchase,Storage
1,1,15.0,20.0,5.0
1,2,5.0,5.0,0.0
2,1,15.0,10.0,0.0
2,2,2.0,12.0,10.0
3,1,0.0,0.0,-0.0
3,2,20.0,10.0,0.0
