Scenario,Class,SubClass,Resource,Model,Fips Code,County,State,Sqmi,Land Source,Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,BTU/Ton,USDA Region
mature-market medium,agriculture land,"Energy crops, woody",Willow,POLYSYS,42007,Beaver County,Pennsylvania,444.03,Pasture,70,3357,dt,58062672000,BTU,7.56,17296000,Northeast
mature-market medium,agriculture land,Agricultural residues,Wheat straw,POLYSYS,18009,Blackford County,Indiana,165.58,Crop,70,0,dt,0,BTU,0,14892000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Sorghum stubble,POLYSYS,20029,Cloud County,Kansas,717.99,Crop,70,31350,dt,4.64921E+11,BTU,43.66,14830000,Northern Plains
mature-market medium,agriculture land,Agricultural residues,Wheat straw,POLYSYS,31005,Arthur County,Nebraska,718.1,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,37085,Harnett County,North Carolina,601.22,Crop,70,117196,dt,1.92483E+12,BTU,194.93,16424000,Appalachia
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,28071,Lafayette County,Mississippi,679.23,Pasture,70,53426,dt,8.77469E+11,BTU,78.66,16424000,Southeast
mature-market medium,agriculture land,"Energy crops, woody",Willow,POLYSYS,17175,Stark County,Illinois,288.36,Pasture,70,1875,dt,32430000000,BTU,6.5,17296000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,36037,Genesee County,New York,495.31,Crop,70,127707,dt,2.00781E+12,BTU,257.83,15722000,Northeast
mature-market medium,agriculture land,"Energy crops, woody",Poplar,POLYSYS,47027,Clay County,Tennessee,259.34,Pasture,70,1727,dt,29193208000,BTU,6.66,16904000,Appalachia
mature-market medium,agriculture land,Agricultural residues,Oats straw,POLYSYS,31045,Dawes County,Nebraska,1400.98,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
mature-market medium,agriculture land,Agricultural residues,Sorghum stubble,POLYSYS,31059,Fillmore County,Nebraska,576.53,Crop,70,933,dt,13836390000,BTU,1.62,14830000,Northern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,05111,Poinsett County,Arkansas,763.66,Pasture,70,5104,dt,83828096000,BTU,6.68,16424000,Delta States
mature-market medium,agriculture land,"Energy crops, woody",Willow,POLYSYS,13123,Gilmer County,Georgia,430.96,Pasture,70,25354,dt,4.38523E+11,BTU,58.83,17296000,Southeast
mature-market medium,agriculture land,Agricultural residues,Sorghum stubble,POLYSYS,35041,Roosevelt County,New Mexico,2453.26,Crop,70,0,dt,0,BTU,0,14830000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Oats straw,POLYSYS,42035,Clinton County,Pennsylvania,896.93,Crop,70,0,dt,0,BTU,0,14892000,Northeast
