,inv_p,fom_p,inv_e,fom_e,vom,hr,SOC_min,SOC_max,ep_min,ep_max,self_dis,ch_eff,dch_eff
Onshore wind,1335,28,0,0,0,0,0,0,0,0,0,0,0
Solar PV,895,15,0,0,0,0,0,0,0,0,0,0,0
Gas-CCGT,1343,30,0,0,2,6.16,0,0,0,0,0,0,0
Li-ion battery storage,257,6.4,277,6.9,1,0,0.05,0.95,1,10,1E-03,0.92,0.92
Metal-air storage,1100,27.5,10,0.25,1,0,0.05,0.95,10,150,1E-02,0.72,0.59
